ObjectName,Summary,Supported Calls,Special Access Rules,Usage,Associated Objects,Additional Considerations and Related Objects
 ,Represents the fields for Data.com company records. This object is available in API version 30.0 or later.,"describeLayout(), describeSObjects(), query()",,"Use the DatacloudCompany object to search the Data.com database for companies with the specific criteria that you enter. Use this object to find company records that you are interested in purchasing for your organization. Data.com APIs use the term “company,” which is similar to Salesforce term “accounts.”",,
 ,The fields and properties for Data.com contact records. This object is available in API version 30.0 or later.,"describeSObjects(), query()",,This object searches the Data.com database for contacts with the specific criteria that you enter. Use this object to find contact records that you are interested in purchasing for your organization.,,
DataIntegrationRecordPurchasePermission,Indicates Lightning Data purchase credits that a Salesforce admin hasgranted to users.,"describeSObjects(), create(), delete(), query(), retrieve(), update(), upsert()","As of Spring ’20 and later, only your Salesforce org's internal users can access this object.",,,
DatasetExport   ,"Represents a dataset exported from Einstein Analytics. When a dataset is   exported, the data is converted into a .csv file and the schema is stored in a separate JSON   file. These files are stored in two objects: DatasetExport and DatasetExportPart.   DatasetExport acts as the header and includes the JSON schema. ","     describeSObjects(), query(),retrieve()   ",,,,
DatasetExportPart   ,"Represents a dataset exported from Einstein Analytics. When a dataset is   exported, the data is converted into a .csv file and the schema is stored in a separate JSON   file. These files are stored in two objects: DatasetExport and DatasetExportPart.   DatasetExportPart contains parts of the .csv file.   ","     describeSObjects(), query(),retrieve()   ",,,,
DataUseLegalBasis,"Represents the legal basis for contacting a customer, such as billing or contract. This object is available in API version 45.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",This object is available if Data Protection and Privacy is enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
DataUsePurpose,"Represents the reason for contacting a prospect or customer, such as for billing, marketing, or surveys. This object is available in API version 45.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",This object is available if Data Protection and Privacy is enabled.,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
DatedConversionRate,Represents the dated exchange rates used by an organization for whichthe multicurrency and the effective dated currency features are enabled.,"delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), ",Customer Portal users can't access this object.,"This object is for multicurrency organizations with advanced currency management enabled. Use this object to define the exchange rates your organization uses for a date range. This object is not available in single-currency organizations, nor is it available if the organization does not have advanced currency management enabled.",,
DeclinedEventRelation,Represents     event     participants (invitees or attendees) with the status Declined for a given event.     This object is available in API versions 29.0 and later.,"describeSObjects(), query(), retrieve()",,,,
DelegatedAccount,Represents the external managed account. This object is   available in API version 49.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",You must have a Partner or Customer Community Plus license.,,,
DeleteEvent,"Represents a record that has been soft deleted. Search on this object was available in API version 48.0, then removed in API version 50.0."," describeSObjects(), query(), retrieve()",,,,
DigitalSignature,Represents a signature captured on a service report in field service.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete()",Field Service must be enabled.,"Add signature blocks to service report templates to determine which signatures need to be gathered on reports that use the template. Service report templates can contain up to 20 signatures, and each signature must use a different Signature Type. For example, create a standard service report template that contains a customer signature and a technician signature.",,
DigitalWallet,The digital wallet entity represents a customer’s digital wallet service.   Commerce Payments can use a digital wallet as a payment source when processing payments   through a payment gateway. This object is available in API version 48.0 and later. ," create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert() ","To access Commerce Payments entities, your org must have a Salesforce Order Management     license with the Payment Platform org permission activated. Commerce Payments entities are     available only in Lightning Experience.",,,
DirectMessage,Represents a direct message conversation between multiple users in   Chatter. This object is available in API version 38.0 and later.,"   describeSObjects(),    query(),    retrieve(),    update()",You must have the Manage Chatter Messages and Direct Messages permission enabled to access     the DirectMessage object.,"DirectMessage is an object used by Salesforce to control DirectMessage conversations. It     represents a record of a direct message conversation, but doesn’t include conversation data,     such as posts or comments. It is most frequently used to moderate direct message data in     order to meet data compliance regulations.",,
Division,"A logical segment of your organization's data. For example, if yourcompany is organized into different business units, you could create a division for each businessunit, such as “North America,” “Healthcare,” or“Consulting.” Available only if the organization has the Division permissionenabled.","create(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,"The values available for that field are the global division ID for the organization, created when divisions are first enabled, and any other division IDs that have been created. The division ID associated with a user is populated in the objects owned or created by the user.",,
DivisionLocalization,"When the Translation Workbench is enabled for your organization, theDivisionLocalization object provides the translation of the label for a   division.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,Use this object to translate the labels of your divisions into the different languages supported by Salesforce.,,
Document,"Represents a file that a user has uploaded. Unlike Attachment records,documents are not attached to a parent object.","create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",You must have the “Edit” permission on documents and the appropriate access to the Folder that contains a document in order to create or update a document in that Folder.,"When creating or updating a document, you can specify a value in either the  Body or Url fields, but not both.",,
DocumentAttachmentMap,"Maps the relationship between an EmailTemplate and its attachment, which is stored as a Document.","create(), describeSObjects(), query(), retrieve(), update(), upsert()",Customer Portal users can’t access this object.,"Use this object to map the relationship of an EmailTemplate to its attachments, and to specify the order of the attachments.",,
DocumentTag,Associates a word or short phrase with a Document.,"create(), delete(), describeSObjects(), query(), retrieve()",,"DocumentTag stores the relationship between its parent TagDefinition and the Document being tagged. Tag objects act as metadata, allowing users to describe and organize their data.",,
Domain,Read-only object that represents a custom Web address assigned to a site in your organization. This object is available in API version 26.0 and later.,"describeSObjects(), query(),retrieve()",,Use this read-only object to query the domains that are associated with each website in     your organization.,,
DomainSite,Read-only junction object that joins together the Site and Domain objects. This   object is available in API version 26.0 and later.,"describeSObjects(), query(), retrieve()",,Use this read-only object to query or retrieve information about your Lightning Platform site.,,
DsarPolicy,Represents a Data Subject Access Request (DSAR) policy created in the      Privacy Center managed package. DSAR policies anonymize or transfer personal data from your      org at your customer’s request. This object is available in API version 50.0 and      later.,"describeSObjects(), query(), retrieve()",This object is for Privacy Center customers with the ReadAllData or PrivacyDataAccess permissions.,,,
DsarPolicyLog,Represents the history of Data Subject Access Request (DSAR) policy      execution requests. This log records the status and results of executed DSAR policies for a      customer. This object is available in API version 50.0 and later.,"describeSObjects(), query(), retrieve()",This object is for Privacy Center customers with the ReadAllData or PrivacyDataAccess permissions.,,,
DuplicateJob,Represents an instance of a job that identifies duplicates amongexisting records in the system.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.",,,
DuplicateJobDefinition,Setup object defining a job that identifies duplicate record itemsglobally.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.",,,
DuplicateJobMatchingRule,Represents a MatchingRule to be used with a DuplicateJob sharing thecorresponding DuplicateJobMatchingRuleDefinition.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.",,,
DuplicateJobMatchingRuleDefinition,Setup object specifying a MatchingRule to use with DuplicateJobinstances that share a DuplicateJobDefinition.,"describeSObjects(), query(), search()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.",,,
DuplicateRecordItem,Represents an individual record that’s part of a duplicate record set. Use this object to create custom report types. ," create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()","To access this object, enable Duplicate Management. A Salesforce admin can grant access to any user with a Sales Cloud or CRM user license.",,,
DuplicateRecordSet,Represents a group of records that have been identified as duplicates. Each duplicate record set contains one or more duplicate record items. Use this object to create custom report types and view the results of duplicate jobs.," create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert() ","To access this object, enable Duplicate Management. Users must be given read and write access by a Salesforce admin. ",,,
DuplicateRule,Represents a duplicate rule for detecting duplicate records.,"describeSObjects(), describeLayout(), query(), retrieve(), search()","As of Summer ’20 and later, only users with the View Setup and Configuration permission can access this object.",DuplicateRule is available to organizations that use duplicate rules.,,
ElectronicMediaGroup,Represents the type of media that you can associate with a product or      category.This object is available in API version 49.0 and later.,"describeLayout(), describeSObjects(), getDeleted(),    getUpdated(), query(), retrieve()",You must have the B2B Commerce license and a CMS workspace to access a web store.,,,
ElectronicMediaUse,Represents the usage of media.This object is available in API   version 49.0 and later.,"describeSObjects(), query(), retrieve()",You must have the B2B Commerce license and a CMS workspace to access a web store.,,,
EmailContent,Represents a marketing email asset for use with Pardot. This object is available in API version 50.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()","EmailContent is only available for orgs that use Pardot. The Manage Email Content user permission is required. Users also need the CRM User, Sales, or Service User permission set. EmailContent isn’t available for custom portal or guest users.",,,
EmailDomainFilter,Represents a filter that determines whether an email relay is restricted to a specific list of domains. This object is available in API version 43.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","You must have the “Email Administration,” “Customize Application,” and “View Setup” user permissions to use this object.",,,
EmailDomainKey,"Represents a domain key for an organization’s domain, used to   authenticate outbound email that Salesforce sends on the organization’s behalf. This object is available in API version 28.0 and later.","create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only authenticated internal and external users can access this     object.","When you create a DKIM key, Salesforce generates a public and private key pair. Publish the     public key in the DNS.",,
EmailMessage,Represents an email in Salesforce.,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()","EmailMessage is only available for organizations that use Email-to-Case or Enhanced Email, which is automatically enabled for most customers.","If your organization uses Email-to-Case, a case is created when an email is sent to one of your company’s addresses. The email, which is related to the case by the ParentID field, is stored as an EmailMessage record. When users view the email, they see the EmailMessage record.",,
EmailMessageRelation,"Represents the relationship between an email and contacts, leads, and users. This object is available in API version 37.0 and later.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","EmailMessageRelation is only available for organizations that use Email-to-Case or Enhanced Email, which is automatically enabled for most customers.","EmailMessageRelation allows an email to be related to contacts, leads, and users.",,
EmailRelay,Represents the configuration for sending an email relay. An email relay routes email sent from Salesforce through your company’s email servers. This object is available in API version 43.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","You must have the “Email Administration,” “Customize Application,” and “View Setup” user permissions to use this object.","An email relay must be associated with an active email domain filter to take effect. If you set up multiple email relays in one org, they are processed in the priority order of their email domain filters.",,
EmailServicesAddress,An email service address.,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only authenticated internal and external users can access this object.","This object supports the email services feature, which allows you to create automated processes that use Apex classes to process the contents, headers, and attachments of inbound email. For example, you can create an email service that automatically creates contact records based on contact information in messages.",,
EmailServicesFunction,An email service.,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","As of Summer ’20 and later, only authenticated internal and external users can access this object.","This object supports the email services feature, which allows you to create automated processes that use Apex classes to process the contents, headers, and attachments of inbound email. For example, you can create an email service that automatically creates contact records based on contact information in messages.",,
EmailStatus,Represents the status of email sent.,describeSObjects(),Customer Portal users can’t access this object.,,,
EmailTemplate,"Represents a template for mass email, or email sent when the activityhistory related list of a record is modified.","create(), delete(),  describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(),  retrieve(), search(), update(), upsert()",Customer Portal users can’t access this object.,"To retrieve this object, issue a describe call on an object, which returns a query result for each activity since the object was created. You can't query these records.",,
EmbeddedServiceDetail,Represents a metadata catalog object that exposes fields from the      underlying Embedded Service setup objects defined in each EmbeddedServiceConfig deployment      for guest users. Guest users don’t have direct access to the Embedded Service setup      objects. Available in API version 39.0 and later.,,,,,
Employee,"Represents an employee within a company or organization. This object is available in API version 48.0 and later. In API version 49.0 and later, this object supports reports, criteria-based sharing rules, and history tracking, plus you can exclude individual fields from custom page layouts.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search() undelete(), update(), upsert()","To access this object, you must be assigned a Workplace Command Center permission set     license and the Provides access to Workplace Command Center features system permission.",,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
EmployeeCrisisAssessment,"Represents a crisis assessment of an Employee. This object is available in API version 48.0 and later. In API version 49.0 and later, this object supports reports, criteria-based sharing rules, and history tracking, plus you can exclude individual fields from custom page layouts.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(),undelete(), update(), upsert()","To access this object, you must be assigned a Workplace Command Center permission set     license and the Provides access to Workplace Command Center features system permission.",,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
EngagementChannelType,Represents a channel through which a customer can be reached for   communication. This object is available in API version 48.0 and later.," create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert() ",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
EmbeddedServiceLabel,Represents a customized label in Embedded Chat or embedded      Appointment Management.This object is available in API version 44.0  and later.,,,,,
EnhancedLetterhead,Represents an enhanced letterhead that can be associated with a Lightning email template that doesn’t use the Salesforce Merge Language (SML). This object is available in API version 46.0  and later.,"create(), delete(), describeSObjects(), describeLayout(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
Entitlement,"Represents the customer support an account or contact is eligible to receive. This object is available in API version 18.0 and later. Entitlements may be based on an asset, product, or service contract.","create(), delete(), describeLayout(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
EntitlementContact,Represents a Contact eligible to receive customer support via an Entitlement.   This object is available in API version 18.0 and later.,"create(), delete(), describeSObjects(), getDeleted(),  getUpdated(), query(), retrieve(), undelete()",,Use to query and manage entitlement contacts.,,
EntitlementTemplate,Represents predefined terms of customer     support for a product (Product2). This object is available in API version 18.0 and later.,"create(),delete(),describeSObjects(), query(),retrieve(), update(),upsert()","As of Summer ’20 and later, only Salesforce admins, users with access to the Case,     Entitlement, or Work Order objects, and users with the View Setup and Configuration     permission can access this object.",Use this object to manage entitlement templates.,,
EntityHistory,Represents historical information about an object’s changedfield values. This object is only available to users with the “View AllData” permission. This object is unavailable beginning with API version 8.0. Use theobject-specific ,"describeSObjects(), getUpdated(),  getDeleted(), query(), retrieve()",,"In API version 7.0 and later, this object works with Case, Contract, and Solution objects:",,
EntityMilestone,Represents a required step in a customer support process on a work order. The Salesforce user interface uses the term “object milestone.” This object is available in API version 37.0 and  later.,"delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update()",,"When you create an entitlement process, you select its type based on the type of record that you want the process to run on: Case or Work Order. Processes created before Summer ’16 use the Case type. When a Work Order entitlement process runs on a work order, the resulting milestones on the work order are object milestones. Conversely, when a Case entitlement process runs on a case, the resulting milestones are case milestones, a separate standard object.","This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
EntitySubscription,Represents a subscription for a user     following a record or another user. This object is available in API version 34.0 and later.,"create(),delete(),describeSObjects(), getDeleted(), getUpdated(), query(),retrieve()",,Consider this when following records and users:,,
EnvironmentHubMember,Represents a member organization in the Environment Hub.   This object is available in API version 29.0 and later.,"delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(),  query(), retrieve(),  undelete(),  update()",,Use this object to access and modify settings of member orgs in the Environment Hub.,,
Event,"Represents an event in the calendar. In the user interface, event and   task records are collectively referred to as activities.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",,Use Event to manage calendar appointments.,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
EventLogFile,"Represents event log files for event monitoring. The event monitoringproduct gathers information about your Salesforce org’s operational events, which you can use toanalyze usage trends and user behavior. This object is available in API version 32.0 and   later. The Interval and Sequence fields are available   only in API version 37.0 and later.","describeSObjects(), query(), retrieve()",Accessing this object requires View Event Log Files and API Enabled user permissions. Users with View All Data permission can view event log files.,,,
EventRelation,"Represents a person (a user, lead,     or contact) or a resource (such as a conference room) invited to an event. This     object lets you add or remove invitees from an event and use the API to manage     invitees’ responses to invitations. If Shared Activities is enabled, EventRelation can also represent     other objects that are related to an event. EventRelation does not support triggers,     workflow, or data validation rules.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,,,
EventBusSubscriber,"Represents a trigger, process, or flow that’s subscribed to a      platform event or a change data capture event. Doesn’t include CometD   subscribers.","describeSObjects(), query()","EventBusSubscriber is read only and can only be queried. As of Summer ’20 and later, only your Salesforce org's internal    users can access this object.","Use EventBusSubscriber to query details about subscribers to a platform event. You can get all subscribers for a particular event by filtering on the Topic field, as follows.",,
EventTag,Associates a word or short phrase with an Event.,"create(), delete(), describeSObjects(), query(), retrieve()",,"EventTag stores the relationship between its parent TagDefinition and the Event being tagged. Tag objects act as metadata, allowing users to describe and organize their data.",,
EventWhoRelation,Represents the relationship between an event and a lead or contacts. This derived object is a filtered version of the ,"describeSObjects(), query(), retrieve()",,,,
Expense,"Represents an expense linked to a work order. Service resource technicians can   log expenses, such as tools or travel costs. This object is available in API version 49.0 and later. ","     create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(),retrieve(), search(),undelete(), update(),upsert()   ",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
ExpenseReport,Represents a report that summarizes expenses. This object is available in API version 50.0 and later. ,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(),search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
ExpenseReportEntry,Represents an entry in an expense report. This object is available in API version 50.0 and later. ,"create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(),search(), undelete(), update(), upsert()",,,"This object has the following associated objects. Unless noted, they are available in the     same API version as this object.",
ExternalAccountHierarchy,"Represents the external account hierarchy, which works like a      role-based hierarchy.  Use ExternalAccountHierarchy to allow partner and customer users to      share data with other external accounts in their hierarchy.This object is available in   API version 49.0 and later.","create(), delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), undelete(), update(), upsert()",You must have a Partner or Customer Community Plus license.,,,
ExternalAccountHierarchyHistory,Represents the history of changes to values in the fields of an      external account hierarchy. This object is available in API version 50.0 and   later.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",You must have a Partner or Customer Community Plus license.,,,
ExternalDataSource,"Represents an external data source, which defines connection details   for integration with data and content that are stored outside the Salesforce org. This object is available in API version 27.0 and later.","describeSObjects(), query(), retrieve()","As of Spring ’20 and later, only authenticated internal and external users can access this     object.","Define an external data source to connect to data or content that’s stored outside the     Salesforce org. Then create external objects, which map to the external system’s data and     behave similarly to custom objects. ",,
ExternalDataUserAuth,Stores authentication settings for a Salesforce user to access an external system. The external system must be defined in an external data source or a named credential that’s configured to use per-user authentication. This object is available in API version 27.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,"If you grant users access to the external data source or named credential via permission sets or profiles, those users can manage their own authentication settings. See “Store Authentication Settings for External Systems” in the Salesforce Help.",,
ExternalSocialAccount,Represents a managed social media account on a social network such as Facebook or Twitter. This object is available in API version 29.0 and later.,"describeSObjects(), query(), retrieve()",,,,
FeedAttachment,"Represents an attachment to a feed item, such as a file attachment or a link. Use FeedAttachment to add various attachments to one feed item. ","create(), delete(), describeSObjects(), idEnabled(), query(), retrieve(), update(), upsert()",,,,
FeedComment,Represents a comment added to a feed bya user.   This object is available in API version 18.0 and later.,"create(),delete(),describeSObjects(), getDeleted(), getUpdated(), query(),retrieve(), search(),update(),upsert()",Note the following when working with feed comments.,,,
FeedItem,"FeedItem represents an entry in the feed, such     as changes in a record feed, including text posts, link posts, and content posts.   ","create(), delete(), describeSObjects(), describeLayout(), getDeleted(), getUpdated(), query(), retrieve(),search(), update(), upsert()","If the context user has the Insert System Field Values for Chatter Feeds user permission, the ",,,
FeedLike,Indicates that a user has liked a feed item.   This object is available in API version 21.0 and later.,"create(), delete(), describeSObjects()","If the context user has the Insert System Field Values for Chatter Feeds user permission, the ","You can't query FeedLike records directly. They can only be queried via the entity feed, such as AccountFeed.",,
FeedPollChoice,Shows the choices for a poll posted in the     feed. This object is available in API version 29.0 and later.,"describeSObjects(), query(), retrieve()",,,,
FeedPollVote,Shows how users voted on a poll posted in the     feed. This object is available in API version 29.0 and later.,"describeSObjects(), query(), retrieve()",,,,
FeedPost,"FeedPost represents the following types of changes in a record feed, such as AccountFeed: text posts, link posts, and content posts.   ","create(), delete(), describeSObjects(), search()",Only users with the Modify All Data permission can delete afeed item of TypeTrackedChange.,,,
FeedRevision,"Holds the revision history of a specific feed item or comment,   including a list of attributes that changed for each revision. ","describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()",,,,
feedSignal,"Attach feed signals, like UpDownVote,     UserVerified, and Verified, to a feed post or   comment. This object is available in API version 41.0 and later.  ","create(), delete(), describeSObjects()",,,,
FeedTrackedChange,"Represents an individual field change or set of field changes. A FeedTrackedChange is a child object of a record feed, such as AccountFeed.   This object is available in API version 18.0 and later.",describeSObjects(),,"If you move a custom field to the Recycle Bin, all FeedTrackedChange records that track historical changes to the custom field are automatically deleted and are not restored if the custom-field is undeleted.",,
FieldHistoryArchive,"Represents field history values for all objects that retain fieldhistory. FieldHistoryArchive is a big object,available only to users with the “Retain Field History” permission. This   object is available in API version 29.0 and later.","describeSObjects(), query()",,,,
FieldPermissions,Represents the enabled field permissions for the parent PermissionSet.   This object is available in API version 24.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()","In API version 49.0 and later, only users with the View Setup and Configuration permission can access this object.","FieldPermissions work similarly to ObjectPermissions. However, FieldPermissions includes a Field attribute to return the name of the field.",,
FieldSecurityClassification,Represents a field’s data sensitivity value selected from the SecurityClassification picklist. This object is available in API version 46.0 and later.,"describeSObjects(), query(), retrieve()","To view this object, you need the Customize Application or Modify Data Classification permission.","Use this object to return information about data sensitivity values in the SecurityClassification picklist. This object is read-only, but you can update the SecurityClassification picklist using the ",,
FieldServiceMobileSettings,Represents a configuration of settings that control the Field Service iOS and Android mobile app experience. This object is available in API version 38.0 and later.,"create(), delete(), describeLayout(), describeSObjects(), query(), retrieve(), update(), upsert()",Field Service must be enabled.,Field Service Mobile settings allow you to create sets of settings to apply to different field service mobile users. The settings apply to both the Android and iOS versions of the app.,,
FiscalYearSettings,Settings to define a custom or standard fiscal year for yourorganization. This object has a parent-child relationship with the Periodobject.,"describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","As of Spring ’20 and later, only partner users and standard users can access this object.",,,
FlexQueueItem,Represents an asynchronous Apex job in the Apex flex queue. Provides information about the job type and flex queue position of the AsyncApexJob.   This object is available in API version 36.0 and later.,"describeSObjects(), query()","The enableAsyncRequiresViewSetup field on the ApexSettings metadata type controls the activation of the critical update “Require View Setup permission to enqueue async Apex Jobs”. In API version 49.0 and later, when the field is set to true, users must have the View Setup and Configuration permission to access this object.",,,
FlowDefinitionView,Represents the description of a flow definition. This object is   available in API version 46.0 and later.,"describeSObjects(), query()",,Use this object to query information about flow definitions.,,
FlowInterview,Represents a flow interview. A ,"delete(), describeLayout(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve()","To delete a flow interview, you must have the “Manage Flow” user permission. All other calls require the “Run Flows” user permission or the Flow User field enabled on the user detail page. If ",,"This object has the following associated objects. Unless noted, they are available in the same API version as this object.",
FlowInterviewOwnerSharingRule,Represents the rules for sharing a FlowInterview with users other      than the owner. This object is available in API version 33.0 and later.,"create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()",,Use this object to manage the sharing rules for FlowInterview records. General sharing uses this object.,,
FlowInterviewShare,Represents a sharing entry on a FlowInterview. This object is   available in API version 33.0 and later.,"create(), delete(), describeSObjects(), query(), retrieve(), update(), upsert()",,This object lets you determine which users and groups can view and edit flow interviews that are owned by other users. ,,
FlowRecordRelation,"Represents a relationship between a record and a flow interview. When a flow interview is paused, Salesforce uses the $Flow.CurrentRecord global variable in the flow to associate the interview with a record. Available in API version 42.0 and later.","create(), delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete(), update(), upsert()",,,,
FlowStageRelation   ,"Represents a relationship between a paused flow interview and its stages. When   a flow interview is paused, Salesforce creates a FlowStageRelation record for each stage   that’s set to the $Flow.CurrentStage or $Flow.ActiveStages global variable. Available in API version 43.0 and later. ","     delete(), describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), undelete()   ",,You can use the FlowStageRelation records to represent the paused interview and its active     and current stages visually.,,
FlowVariableView,Represents a variable within the flow version. This object is   available in API version 46.0 and later.,"describeSObjects(), query()",,Use this object to query information about flow variables. A query must be filtered by    FlowVersionViewId to get results. Only variables with IsInput or IsOutput marked as true are visible.,,
FlowVersionView,Represents the version of a flow definition. This object is available in API version 46.0 and later.,"describeSObjects(), query()",,Use this object to query information about flow versions. A query must be filtered by    DurableId or FlowDefinitionViewId to get results.,,
Folder,"Represents a repository for a Dashboard, Document, EmailTemplate, Macro, QuickText, or Report. Only one type of itemcan be contained in a folder.","create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), search(), update(), upsert()",,"Only one type of item can be contained in a folder, either Dashboard, Document,  EmailTemplate, Macro, QuickText, or Report.",,
FolderedContentDocument,Represents the relationship between a parent and child ContentFolderItem in a ContentWorkspace.,describeSObjects(),,,,
ForecastingAdjustment,This object represents an individual forecast manager’s adjustment for a subordinate’s or child territory’s forecast via a ForecastingItem. ,"create(), delete(),  describeSObjects(), getDeleted(), getUpdated(), query(), retrieve(), update(), upsert()","As of Spring ’20 and later, only standard users with the View All Forecasts or Allow Forecasting permission or delegated forecast manager status can access this object.","Use this object to obtain a manager’s adjustment detail for a specified ForecastingItem. The ForecastingAdjustment object is visible to all users, but only forecast managers and users above them in the forecast hierarchy can read or write ForecastingAdjustment records.",,
ForecastingDisplayedFamily,Represents the table in Forecasts Settings where an admin selects the product families that users can forecast on in Lightning Experience. This object is available in API version 40.0 and later.,"describeSObjects(), query(), retrieve()","As of Spring ’20 and later, only standard users with the View All Forecasts or Allow Forecasting permission or delegated forecast manager status can access this object.",,,
ForecastingFact,"This is a read-only object linking a ForecastingItem with its opportunities, such as opportunities that share the same owner or forecast category and have a closing date within the period of the forecasting item. Available in API versions 26 and greater.","describeSObjects(), query(), retrieve()","As of Spring ’20 and later, only standard users with the View All Forecasts or Allow Forecasting permission or delegated forecast manager status can access this object.",,,
